istaigos_kodas;gydytojo_ID;iraso_sukurimo_data
124244035;10205;2019-04-01 02:59
124244035;10209;2019-04-01 02:59
124244035;10486;2019-04-01 02:59
124244035;11112;2019-04-01 02:59
124244035;11218;2019-04-01 02:59
124244035;119857;2019-04-01 02:59
124244035;121232;2019-04-01 02:59
124244035;12523;2019-04-01 02:59
124244035;15459;2019-04-01 02:59
124244035;16365;2019-04-01 02:59
124244035;16754;2019-04-01 02:59
124244035;16803;2019-04-01 02:59
124244035;16900;2019-04-01 02:59
124244035;17155;2019-04-01 02:59
124244035;17271;2019-04-01 02:59
124244035;17706;2019-04-01 02:59
124244035;18055;2019-04-01 02:59
124244035;18056;2019-04-01 02:59
124244035;18268;2019-04-01 02:59
124244035;21350;2019-04-01 02:59
124244035;21428;2019-04-01 02:59
124244035;21468;2019-04-01 02:59
124244035;22347;2019-04-01 02:59
124244035;23014;2019-04-01 02:59
124244035;23024;2019-04-01 02:59
124244035;23027;2019-04-01 02:59
124244035;24423;2019-04-01 02:59
124244035;24608;2019-04-01 02:59
124244035;24660;2019-04-01 02:59
124244035;24907;2019-04-01 02:59
124244035;24979;2019-04-01 02:59
124244035;25347;2019-04-01 02:59
124244035;25416;2019-04-01 02:59
124244035;25487;2019-04-01 02:59
124244035;25496;2019-04-01 02:59
124244035;25777;2019-04-01 02:59
124244035;26261;2019-04-01 02:59
124244035;26268;2019-04-01 02:59
124244035;26311;2019-04-01 02:59
124244035;26537;2019-04-01 02:59
124244035;30089;2019-04-01 02:59
124244035;30271;2019-04-01 02:59
124244035;30344;2019-04-01 02:59
124244035;30814;2019-04-01 02:59
124244035;30940;2019-04-01 02:59
124244035;31104;2019-04-01 02:59
124244035;31286;2019-04-01 02:59
124244035;31379;2019-04-01 02:59
124244035;31553;2019-04-01 02:59
124244035;31559;2019-04-01 02:59
124244035;31886;2019-04-01 02:59
124244035;31921;2019-04-01 02:59
124244035;31927;2019-04-01 02:59
124244035;32252;2019-04-01 02:59
124244035;32276;2019-04-01 02:59
124244035;32607;2019-04-01 02:59
124244035;32757;2019-04-01 02:59
124244035;33161;2019-04-01 02:59
124244035;33172;2019-04-01 02:59
124244035;33225;2019-04-01 02:59
124244035;33243;2019-04-01 02:59
124244035;361;2019-04-01 02:59
124244035;4136;2019-04-01 02:59
124244035;4356;2019-04-01 02:59
124244035;8466;2019-04-01 02:59
124244035;8494;2019-04-01 02:59
