istaigos_kodas;gydytojo_ID;iraso_sukurimo_data
124244754;1212;2019-03-20 14:46:47
124244754;1105;2019-03-20 14:46:47
124244754;1312;2019-03-20 14:46:47
124244754;133;2019-03-20 14:46:47
124244754;1302;2019-03-20 14:46:47
124244754;307;2019-03-20 14:46:47
124244754;1208;2019-03-20 14:46:47
124244754;1116;2019-03-20 14:46:47
124244754;444;2019-03-20 14:46:47
124244754;420;2019-03-20 14:46:47
124244754;460;2019-03-20 14:46:47
124244754;306;2019-03-20 14:46:47
124244754;1121;2019-03-20 14:46:47
124244754;1403;2019-03-20 14:46:47
124244754;1119;2019-03-20 14:46:47
124244754;127;2019-03-20 14:46:47
124244754;129;2019-03-20 14:46:47
124244754;206;2019-03-20 14:46:47
124244754;448;2019-03-20 14:46:47
124244754;308;2019-03-20 14:46:47
124244754;304;2019-03-20 14:46:47
124244754;107;2019-03-20 14:46:47
124244754;1415;2019-03-20 14:46:47
124244754;1120;2019-03-20 14:46:47
124244754;130;2019-03-20 14:46:47
124244754;128;2019-03-20 14:46:47
124244754;404;2019-03-20 14:46:47
124244754;126;2019-03-20 14:46:47
124244754;1117;2019-03-20 14:46:47
124244754;405;2019-03-20 14:46:47
124244754;301;2019-03-20 14:46:47
124244754;302;2019-03-20 14:46:47
124244754;219;2019-03-20 14:46:47
124244754;407;2019-03-20 14:46:47
124244754;462;2019-03-20 14:46:47
124244754;215;2019-03-20 14:46:47
124244754;1122;2019-03-20 14:46:47
124244754;213;2019-03-20 14:46:47
124244754;208;2019-03-20 14:46:47
124244754;413;2019-03-20 14:46:47
124244754;1205;2019-03-20 14:46:47
124244754;106;2019-03-20 14:46:47
124244754;211;2019-03-20 14:46:47
124244754;1210;2019-03-20 14:46:47
124244754;1303;2019-03-20 14:46:47
124244754;1114;2019-03-20 14:46:47
124244754;1115;2019-03-20 14:46:47
