istaigos_kodas;gydytojo_ID;laisvos_registracijos;iraso_sukurimo_data
302692454;10000018;2019-04-16 11:35;2019-03-25 04:00:08
302692454;10000018;2019-04-16 11:50;2019-03-25 04:00:08
302692454;10000018;2019-04-17 10:00;2019-03-25 04:00:08
302692454;10000018;2019-04-17 10:15;2019-03-25 04:00:08
302692454;10000018;2019-04-17 10:30;2019-03-25 04:00:08
302692454;10000018;2019-04-17 10:45;2019-03-25 04:00:08
302692454;10000018;2019-04-17 10:55;2019-03-25 04:00:08
302692454;10000018;2019-04-17 11:20;2019-03-25 04:00:08
302692454;10000018;2019-04-17 11:35;2019-03-25 04:00:08
302692454;10000018;2019-04-17 11:50;2019-03-25 04:00:08
302692454;10000018;2019-04-17 12:05;2019-03-25 04:00:08
302692454;10000018;2019-04-18 10:15;2019-03-25 04:00:08
302692454;10000018;2019-04-18 10:30;2019-03-25 04:00:08
302692454;10000018;2019-04-18 10:45;2019-03-25 04:00:08
302692454;10000018;2019-04-18 10:55;2019-03-25 04:00:08
302692454;10000018;2019-04-18 11:05;2019-03-25 04:00:08
302692454;10000018;2019-04-18 11:50;2019-03-25 04:00:08
302692454;10000018;2019-04-18 12:05;2019-03-25 04:00:08
302692454;10000018;2019-04-19 08:30;2019-03-25 04:00:08
302692454;10000018;2019-04-19 08:45;2019-03-25 04:00:08
302692454;10000018;2019-04-19 09:00;2019-03-25 04:00:08
302692454;10000018;2019-04-19 09:15;2019-03-25 04:00:08
302692454;10000018;2019-04-19 09:25;2019-03-25 04:00:08
302692454;10000018;2019-04-19 09:35;2019-03-25 04:00:08
302692454;10000018;2019-04-19 09:50;2019-03-25 04:00:08
302692454;10000018;2019-04-19 10:20;2019-03-25 04:00:08
302692454;10000018;2019-04-19 10:35;2019-03-25 04:00:08
302692454;10000018;2019-04-19 11:05;2019-03-25 04:00:08
302692454;10000018;2019-04-19 11:20;2019-03-25 04:00:08
302692454;10000018;2019-04-19 11:35;2019-03-25 04:00:08
302692454;10000018;2019-04-19 11:50;2019-03-25 04:00:08
302692454;10000018;2019-04-23 08:30;2019-03-25 04:00:08
302692454;10000018;2019-04-23 08:45;2019-03-25 04:00:08
302692454;10000018;2019-04-23 09:00;2019-03-25 04:00:08
